,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,hurst,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature
mipt_alpha_184,0.1699999999999999,0.0399999999999999,-16798467608.859575,175.0,0.7263392314624678,105.0,1.0,0.7477533429534344,284.0,0.0008126036484245,0.977126766907675,0.1535022354694485,0.1288873812754409,0.0,1.0,0.9272735234384172,2.7765217522534182e-09,-5.272520659077252,-3.719276074997296
mipt_alpha_185,0.0757142857142857,0.0619480519480519,-9457508751.228617,244.0,0.7889080641896447,17.0,1.0,0.8215673678146159,4.313725490196078,0.0021332730287954,0.6691139810614866,0.3442622950819672,0.020067842605156,0.0,1.0,0.0378607074824843,5.98686769810092e-08,-0.2283490638757169,-0.3196763348515514
mipt_alpha_186,0.1464285714285714,0.0915178571428571,-27791943742.723118,245.0,0.70478372661647,4.0,1.0,0.8933423045582567,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0025189671634328,3.280526074511157e-09,0.0099434609490356,0.0209308705107692
mipt_alpha_187,0.0992857142857142,0.0381868131868131,-19827132101.02013,265.0,0.8019904898157589,8.0,1.0,0.6738298639317408,334.5,0.0004717154965911,0.4607995842079482,0.0029806259314456,0.0005970149253731,0.0,1.0,0.0066098460970012,6.424953817241231e-09,0.0570498851606293,-0.0143917323719692
mipt_alpha_188,0.0992857142857142,0.0305494505494505,-28163481610.57048,285.0,0.8236421691433145,5.0,1.0,0.5748430283587289,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_189,0.0757142857142857,0.0344155844155844,-27116981367.68494,271.0,0.732917766864468,9.0,1.0,0.7383606990362525,5.52,0.0026798666599661,0.6072852515491098,0.1773472429210134,0.010854816824966,0.0,1.0,0.006463110061637,1.3338977765415525e-07,0.2977057560770595,0.4453533911581764
mipt_alpha_19,0.1464285714285714,0.0457589285714285,-49850541703.12776,265.0,0.7624366488566763,8.0,1.0,0.8240160329270704,335.0,0.0001492537313432,2.8187143843672047e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.002518964698013,3.28052609916438e-09,-0.0052465271952981,0.0242384084281526
mipt_alpha_190,0.1228571428571428,0.0327619047619047,-9622738243.198692,271.0,0.8396595196481643,9.0,1.0,0.8897228475575462,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_191,0.1228571428571428,0.0655238095238095,-43386781412.68782,269.0,0.7037298708311341,4.0,1.0,0.7246111353364418,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_192,0.0757142857142857,0.055064935064935,-86888962056.2459,255.0,0.7257201977675447,5.0,1.0,0.5776651389119518,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_193,0.2171428571428571,0.0325714285714285,-6132443885.733484,232.0,0.8292239273337244,31.0,1.0,0.8766505017106766,133.4,0.0005698778833107,0.2470452219166592,0.0059612518628912,0.0005698778833107,0.0,1.0,0.0171110120676821,1.2301814354625385e-08,0.1136293831555676,-0.0275125659569105
mipt_alpha_194,0.1228571428571428,0.0819047619047619,-18320791593.80349,273.0,0.7933693101829004,8.0,1.0,0.648070072126486,335.0,0.0001492537313432,2.818714384389409e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0203169110340691,3.1376081739501996e-09,0.042974453060339,-0.0319178335207771
mipt_alpha_195,0.0992857142857142,0.0534615384615384,-23284091972.480003,263.0,0.8108496262263857,9.0,1.0,0.6167274050631787,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_196,0.0992857142857142,0.0534615384615384,-26970106736.38733,307.0,0.8117246840226043,8.0,1.0,0.528618887371014,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0025189659074461,3.280526086689875e-09,0.0098189736407521,0.0210449451417008
mipt_alpha_197,0.1228571428571428,0.0655238095238095,-43008742335.70959,279.0,0.7425478715411982,5.0,1.0,0.6271907207902501,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_198,0.1228571428571428,0.0245714285714285,-16449655061.069408,234.0,0.779772199692268,55.0,1.0,0.9823545473359172,154.25,0.0009513040856324,0.9125135210556974,0.0804769001490312,0.0706784260515603,0.0,1.0,0.8492353494838868,3.905719559990165e-09,2.3513806739767267,-0.5565073598741023
mipt_alpha_199,0.0992857142857142,0.0381868131868131,-32516880416.60792,265.0,0.8739480693521796,5.0,1.0,0.6455376273552862,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_2,0.1462604853785051,0.0547847220967971,-43882826160.1169,253.0,0.7741000709703885,5.0,1.0,0.7460388144317037,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_20,0.1228571428571428,0.0245714285714285,-56946068635.04445,235.0,0.7615144474586212,8.0,1.0,0.92962892140406,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0025189646981435,3.280526099163416e-09,0.0050876740932377,0.0243145109121392
mipt_alpha_200,0.1228571428571428,0.0409523809523809,-39581710007.06718,259.0,0.7680057158573357,5.0,1.0,0.6336293585979754,223.0,0.0002939846223428,0.0001150541113865,0.0029806259314456,0.0002939846223428,0.0,1.0,0.0104935628681263,6.331868139254285e-09,-0.0998518605140348,-0.0693183420051978
mipt_alpha_201,0.0992857142857142,0.0381868131868131,-32446338336.87068,269.0,0.736798866317791,7.0,1.0,0.7832866143188665,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_202,0.1699999999999999,0.0299999999999999,-14003001901.477934,283.0,0.7979127573566606,11.0,1.0,0.5438078516032128,220.0,0.0022156892306146,0.7008997690978767,0.0163934426229508,0.007756671189507,0.0,1.0,0.2915790511308495,1.3419044853832428e-08,0.4739848541942403,-0.2236309942156694
mipt_alpha_203,0.1464285714285714,0.0640625,-44401366215.26785,206.0,0.7711934879914325,120.0,1.0,0.7357747951865601,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_204,0.0992857142857142,0.0534615384615384,-34817542094.95062,273.0,0.7996847547266267,8.0,1.0,0.6500256252762874,166.75,0.0009513040856324,0.2070017309400326,0.0059612518628912,0.0014789687924016,0.0,1.0,0.0447786656821073,1.1122564235960358e-08,0.1954650415086605,-0.1753518644992676
mipt_alpha_205,0.0757142857142857,0.0412987012987012,-41498772969.54419,277.0,0.7196268769996885,5.0,1.0,0.6518550298187152,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_206,0.1228571428571428,0.0409523809523809,-23445933208.164597,239.0,0.7379245676029914,13.0,1.0,0.697401848569479,222.66666666666663,0.0006129286228788,0.1258106690341759,0.0044709388971684,0.0007372229760289,0.0,1.0,0.0068969384661036,9.561389759323912e-09,-0.0222553175114002,0.0789730288965328
mipt_alpha_207,0.1228571428571428,0.0327619047619047,-84118919894.13156,271.0,0.7775329781521656,4.0,1.0,0.458962275368688,335.0,0.0001492537313432,2.8187143843672047e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0025061386857296,3.2807392451798723e-09,0.0111377174809006,0.0196405440004344
mipt_alpha_208,0.0992857142857142,0.0610989010989011,-14381112981.799065,178.0,0.847582266056226,281.0,1.0,0.5668051396341847,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_209,0.0992857142857142,0.0305494505494505,-36484001352.09461,299.0,0.8142941990402901,4.0,1.0,0.7095964822845962,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_21,0.1228571428571428,0.0409523809523809,-56044732374.91049,244.0,0.7901270810100681,50.0,1.0,0.4625184109530867,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_210,0.0992857142857142,0.0381868131868131,-48781668016.56323,267.0,0.828282796501332,6.0,1.0,0.7316151313825677,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_211,0.1464285714285714,0.0091517857142857,-59261586978.38556,146.0,0.8310648841382974,221.0,1.0,0.797733532209052,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_212,0.1228571428571428,0.0001,-4954599885.091242,129.0,0.7874505924389306,313.0,1.0,1.0654993853762815,4.292307692307692,0.0095755230581101,0.748821836757428,0.5842026825633383,0.1574536408864767,0.0,1.0,0.6088406949911864,7.502756925924237e-08,-8.331957299115881,-1.460494471674198
mipt_alpha_213,0.1228571428571428,0.0245714285714285,-36048142641.86651,283.0,0.8248727028035446,10.0,1.0,0.6722812354153166,165.0,0.0015223545571804,0.5698570268150889,0.0163934426229508,0.0080597014925373,0.0,1.0,0.0212551433335366,3.1099677041646115e-08,0.192334413649155,0.0875640248785542
mipt_alpha_214,0.1464285714285714,0.0366071428571428,-45265207007.62735,279.0,0.8131290232306243,5.0,1.0,0.8320184544948134,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_215,0.0992857142857142,0.0687362637362637,-46870500233.73216,277.0,0.7939640179967984,4.0,1.0,0.8405837038941211,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_216,0.1935714285714285,0.0215079365079365,-49938512420.0816,277.0,0.8319485733450417,10.0,1.0,0.7678884647717139,163.75,0.0017654153475049,0.6984864112207949,0.0238450074515648,0.0148756218905472,0.0,1.0,0.0252517822301239,4.3234936934437955e-08,-0.022752703789678,0.0648102937030757
mipt_alpha_217,0.1464285714285714,0.0457589285714285,-36414420218.11157,261.0,0.7772427934138518,5.0,1.0,0.622176141138607,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_218,0.1228571428571428,0.0409523809523809,-32071889002.408493,237.0,0.8231843792607081,92.0,1.0,0.6154882352850921,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_219,0.1464285714285714,0.0457589285714285,-33893909246.174305,249.0,0.7590783432510165,6.0,1.0,0.9228139929468376,167.0,0.0004341926729986,0.0002105110336816,0.0044709388971684,0.0004341926729986,0.0,1.0,0.0102192599093028,9.483441045619086e-09,-0.0487219184686034,-0.0223713578907941
mipt_alpha_22,0.0757142857142857,0.055064935064935,-70337719756.83682,259.0,0.6693235680609084,8.0,1.0,0.7371330931126563,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_220,0.0992857142857142,0.0458241758241758,-43946830839.2506,265.0,0.751665827987315,6.0,1.0,0.6965982541066088,332.5,0.00106135986733,0.7676123555275679,0.0089418777943368,0.0053731343283582,0.0,1.0,0.020387381027953,1.7801971124826733e-08,-0.1698807890355872,-0.026399063271124
mipt_alpha_221,0.2171428571428571,0.0217142857142857,-31408500366.302074,206.0,0.7753549628600978,94.0,1.0,0.720716252323121,323.5,0.0015116337504397,0.9159703450826128,0.0357675111773472,0.0290004522840343,0.0,1.0,0.6515096883066464,4.457239203457104e-09,0.198502812049048,0.9819165027222044
mipt_alpha_222,0.2171428571428571,0.0325714285714285,-42221716572.14842,260.0,0.788759591960672,11.0,1.0,0.6057801388616894,5.26,0.0035180997370052,0.635268250545771,0.2160953800298062,0.0165445499773858,0.0,1.0,0.0359590003378768,1.1416460433897956e-07,0.8545638565696498,0.585345716382547
mipt_alpha_223,0.1228571428571428,0.0573333333333333,-25776755504.57683,287.0,0.826478686788756,5.0,1.0,0.7428900862775067,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_224,0.0992857142857142,0.0610989010989011,-27671621899.359585,271.0,0.7817696946406463,5.0,1.0,0.5066949082771047,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_225,0.1464285714285714,0.0457589285714285,-51876380277.274765,245.0,0.7609706165063085,5.0,1.0,0.8071540939066302,335.0,0.0001492537313432,2.818714384389409e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0086842628377559,3.2264214997539367e-09,0.0385154362364787,-0.0254392479957924
mipt_alpha_226,0.1933443666986366,0.0321862618591662,-44078796953.41937,255.0,0.8224845666807954,5.0,1.0,0.8070798981372195,333.5,0.00106135986733,0.6910200751965363,0.0059612518628912,0.0023880597014925,0.0,1.0,0.010189586300268,1.2485699552428122e-08,-0.0577289197960477,0.0629399047679576
mipt_alpha_227,0.0757142857142857,0.0619480519480519,-37832479018.31512,275.0,0.7849913697565966,4.0,1.0,0.5105105748732668,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_228,0.1228571428571428,0.0491428571428571,-65201219685.32963,231.0,0.728818933712015,6.0,1.0,0.7712494186614912,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_229,0.2407142857142857,0.0229251700680272,-33625789268.36969,183.0,0.6247806508182617,144.0,1.0,0.9707664132208144,103.0,0.0026195621220496,0.9400687493007662,0.232488822652757,0.167996381727725,0.0,1.0,0.8634144189806265,2.1895106027253334e-08,6.429120578490862,-2.40195612884044
mipt_alpha_23,0.1464285714285714,0.0457589285714285,-29730752945.52552,210.0,0.8311161358889696,99.0,1.0,0.6359269361483666,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_230,0.1464285714285714,0.0732142857142857,-26047310300.381496,104.0,0.6722966970710339,306.0,1.0,0.915108725571207,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_231,0.1228571428571428,0.0573333333333333,-84688744312.0915,249.0,0.6992309336904955,7.0,1.0,0.8388151304474221,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_232,0.1464285714285714,0.0549107142857142,-76611183412.97849,261.0,0.7396560341361323,6.0,1.0,0.6041363474541797,334.0,0.0008126036484245,0.6143167271067012,0.0044709388971684,0.0013432835820895,0.0,1.0,0.00839673554588,9.498946006882148e-09,-0.0744676989308712,-0.0032868485087857
mipt_alpha_233,0.1228571428571428,0.0737142857142857,-60127666893.378006,265.0,0.720642774880649,8.0,1.0,0.8513673415819898,221.33333333333331,0.0018458213980602,0.5565926327521863,0.0104321907600596,0.0036770691994572,0.0,1.0,0.0165338107195841,2.092718972688117e-08,-0.0630504905558129,0.1794871087810219
mipt_alpha_234,0.1464285714285714,0.0274553571428571,-23319712616.819298,259.0,0.8244371629204185,7.0,1.0,0.872410058229251,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_235,0.1228571428571428,0.0245714285714285,-69134149492.59082,265.0,0.7461640371749173,5.0,1.0,0.760375173417388,334.0,0.0008126036484245,0.6143167271067012,0.0044709388971684,0.0013432835820895,0.0,1.0,0.0075877380877261,9.521349152948488e-09,-0.0187294563439617,0.0711279237452748
mipt_alpha_236,0.0521428571428571,0.0521428571428571,-26011636097.31409,139.0,0.6666100889802318,226.0,1.0,0.9955067684005906,133.4,0.0005698778833107,0.0004797541260104,0.0059612518628912,0.0005698778833107,0.0,1.0,0.0185034980276828,1.2147840056882178e-08,0.1856380262703556,-0.1165160747826842
mipt_alpha_237,0.0992857142857142,0.0381868131868131,-31277744385.295204,213.0,0.7927849321334328,97.0,1.0,0.7415570022525888,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_238,0.0992857142857142,0.0458241758241758,-18644213780.17946,265.0,0.8064534036256127,6.0,1.0,0.7298466471494645,223.0,0.0002939846223428,0.0001150541113866,0.0029806259314456,0.0002939846223428,0.0,1.0,0.0046216321563173,6.474884247147409e-09,-0.0410538679296317,0.0256140486504232
mipt_alpha_239,0.2171428571428571,0.0325714285714285,-40849009200.60856,219.0,0.8102596163161372,95.0,1.0,0.7310870901528422,323.5,0.0015116337504397,0.9159703450826128,0.0357675111773472,0.0290004522840343,0.0,1.0,0.6515096883066464,4.457239203457104e-09,0.198502812049048,0.9819165027222044
mipt_alpha_24,0.0521428571428571,0.0405555555555555,-36652944031.80507,245.0,0.6819836707465111,5.0,1.0,0.9015781884025498,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_240,0.0992857142857142,0.084010989010989,-43165513837.83778,243.0,0.7013310701868998,5.0,1.0,0.9147305986925154,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_241,0.0992857142857142,0.0534615384615384,-30736003291.782948,283.0,0.8501852202212503,6.0,1.0,0.6796232121619618,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_242,0.0991864285863297,0.0685988599553608,-37750408161.14452,287.0,0.7704344039964334,6.0,1.0,0.7310892188194159,222.66666666666663,0.0006129286228788,0.1258106690341758,0.0044709388971684,0.0007372229760289,0.0,1.0,0.0099413311581291,9.498585322130016e-09,0.0598403331214953,-0.0344241424140549
mipt_alpha_243,0.0992857142857142,0.0534615384615384,-35372153608.13749,271.0,0.7604606224564061,8.0,1.0,0.6650444323455529,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_244,0.1228571428571428,0.0409523809523809,-27089868753.817024,236.0,0.7892177936895303,14.0,1.0,0.5870163330923746,30.33333333333333,0.0049006929438106,0.1717395180937643,0.0506706408345752,0.0122342831298055,0.0,1.0,0.0290296979044741,7.880587172196106e-08,0.2425846076141316,0.5489077498435144
mipt_alpha_245,0.0992857142857142,0.0534615384615384,-42837923881.57967,267.0,0.7261641075280305,9.0,1.0,0.6717954095322336,5.411764705882353,0.0027312371922653,0.6140348894837555,0.1773472429210134,0.0102487562189054,0.0,1.0,0.0072357280715404,1.3314211120130693e-07,0.1940864356960611,0.5355403093502924
mipt_alpha_246,0.1241829468782807,0.0909298455881482,-45505376204.5234,273.0,0.7368509158648652,6.0,1.0,0.6994132878208452,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_247,0.0757142857142857,0.0412987012987012,-26191980058.615013,111.0,0.6139036958256406,236.0,1.0,1.056436093345187,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_248,0.1699999999999999,0.0299999999999999,-29063082015.32144,88.0,0.7752683027724024,329.0,1.0,0.9657315328074608,46.642857142857146,0.0033816886387367,0.1206823824445559,0.0268256333830104,0.0044188150158299,0.0,1.0,0.0468605941104092,4.3282510707366115e-08,0.7788091091891249,-0.4413270761921831
mipt_alpha_249,0.1228571428571428,0.0327619047619047,-8927809106.901524,129.0,0.6615900681012489,260.0,1.0,1.0224575077227078,5.123076923076923,0.0074037221300902,0.843435902265579,0.503725782414307,0.1654454997738579,0.0,1.0,0.6192459825124197,8.809795476316672e-08,-8.82836185042024,-2.3126324138787315
mipt_alpha_25,0.0992857142857142,0.0687362637362637,-37765943002.32118,295.0,0.7663996927621171,10.0,1.0,0.6497593158608727,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_250,0.1699999999999999,0.0399999999999999,-34597452999.90323,255.0,0.7461134675181023,11.0,1.0,0.6553372241346979,330.5,0.0016005829438665,0.8531111014739164,0.014903129657228,0.0085617367706919,0.0,1.0,0.0370461895806467,2.7065198474950334e-08,-0.0681105116199933,0.2821756616793489
mipt_alpha_251,0.1228571428571428,0.0409523809523809,-57317710198.88198,261.0,0.8215921348659062,4.0,1.0,0.8524942034647225,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0036910733863534,3.269623895459645e-09,-0.0302975062843262,-0.0100326160566372
