,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature
danish_atm_daily_108,0.2351229617173009,9.10640685591232e-09,-70811.05564886823,16.0,0.7972075109684174,243.0,1.0,152.0,0.0003333333333333,0.0,0.0032786885245901,0.0003333333333333,0.0,1.0,0.0351114009762284,3.1097643754845885e-08,0.0893402853902045,-0.0929314532444039
danish_atm_daily_109,0.3313396966928338,0.0,-92100.93947419384,2.0,0.6038544057921492,270.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_11,0.1927599713713066,0.0533199766004883,-126785.91334422222,127.0,0.8060515018963,6.0,1.0,75.25,0.0016154391939832,0.1438342895353852,0.0131147540983606,0.0018850574712643,0.0,1.0,0.0292656486664055,1.220411529113617e-07,0.0499660501720418,0.1401821169097898
danish_atm_daily_110,0.3444599701108158,0.0,-6501.8122888027865,8.0,0.8116998392854442,264.0,1.0,147.5,0.0006436781609195,0.0,0.0327868852459016,0.0271264367816091,0.0,1.0,0.7311983135975528,2.5733312943662992e-08,0.9411074223717892,-1.0968417124897754
danish_atm_daily_111,0.1558440361027653,0.0525862862321062,-704.9180527267013,5.0,0.7406865886922658,279.0,1.0,152.0,0.0003333333333333,0.0001462487203239,0.0032786885245901,0.0003333333333333,0.0,1.0,0.0402556144709184,3.15891418605203e-08,0.0681545464671591,-0.0585409440449151
danish_atm_daily_112,0.7725679270373512,3.9095712369966666e-13,-341.23100062410725,7.0,0.837377978352273,282.0,1.0,74.25,0.0042378317014332,0.7374166113487693,0.0262295081967213,0.0109885057471264,0.0,1.0,0.2532470403381036,9.350701669765793e-08,0.7078634232994626,-0.717889689779039
danish_atm_daily_12,0.1613300027499733,0.0254540784132535,-165387.80903807384,115.0,0.7842557462497356,5.0,1.0,151.5,0.0010534979423868,1.0,0.0065573770491803,0.0013333333333333,0.0,1.0,0.080185690873653,5.137930761670168e-08,0.1898992030295497,-0.1995856271813041
danish_atm_daily_13,0.0491081648874436,0.0,-46229.4689954791,40.0,0.8579159183542353,195.0,1.0,151.0,0.0018148148148148,0.6130120390342169,0.0098360655737704,0.003,0.0,1.0,0.0172984956930212,9.592922118624124e-08,0.0696456141212287,0.0702752888901159
danish_atm_daily_14,0.0521729000672439,0.0347782981095205,-154095.91021619382,123.0,0.8125499470707541,8.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_15,0.0996390606608825,0.0383468953190957,-177804.0701898028,115.0,0.819473004177862,6.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_16,0.251254730499709,0.0,-83234.14057097983,115.0,0.7817432321375278,5.0,1.0,59.2,0.004455938697318,0.3617699737894638,0.0295081967213114,0.0083793103448275,0.0,1.0,0.016183035935755,2.588198780649204e-07,0.0887903168023276,0.2055222589814169
