naming_orig,RMSE,RMSSE,SMAPE,CM,RMSE_model,RMSSE_model,SMAPE_model,CM_model
nn5_13,4.030357321145161,0.5069106883084515,6.96931853890419,0.7871876699183725,NeuralProphet,NeuralProphet,NeuralProphet,Prophet
nn5_104,3.484882403322992,0.3479209997408132,8.130530267953873,0.774751042089393,LightAutoML,CatBoostAutoRegressivePipelineEtna_horizonlags,LightAutoML,CatBoostAutoRegressivePipelineEtna_horizonlags
nn5_52,2.215171291883874,0.4422394453242148,7.023286819458008,0.7501925800867966,DeepARTuningObjective,Prophet,LightAutoML,Prophet
nn5_48,5.702149022868826,0.6463745054506115,13.847170770168304,0.8208323129152706,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,DeepARTuningObjective,CatBoostDirectPipelineEtna_3lags
nn5_10,5.807472597961545,0.5849744229075086,10.074220597743988,0.8214508108152436,LightAutoML,LightAutoML,LightAutoML,CatBoostDirectPipelineEtna_horizonlags
nn5_37,5.564825879000944,0.4450332032959634,7.71963894367218,0.7871350987280518,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,LightAutoML,Prophet
nn5_44,2.550475869000864,0.327501995852246,6.30900040268898,0.7458456436619287,TFTTuningObjective,TFTTuningObjective,TFTTuningObjective,TFTTuningObjective
nn5_38,3.3568346931453883,0.437323321603199,6.265368312597275,0.7726725518870912,DeepARTuningObjective,LightAutoML,DeepARTuningObjective,Prophet
nn5_33,4.616970825274991,0.3368549363682661,3.8533519953489295,0.762967394507502,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_30lags
nn5_24,4.000739029324672,0.4854983021522879,7.057992368936539,0.7934383753980205,NeuralProphet,NeuralProphet,NeuralProphet,Prophet
nn5_79,4.683850915257904,0.4964408193972318,9.060893952846529,0.7974773018121121,TFTTuningObjective,TFTTuningObjective,TFTTuningObjective,Prophet
nn5_6,4.610022547867386,0.355742827266685,6.749248504638672,0.776358704408143,DeepARTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_30lags
nn5_110,3.41848642843068,0.4416299441372614,8.290278166532516,0.785396678593707,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective
nn5_28,7.000764260124039,0.577141966555987,8.302585035562515,0.8201388560153808,TFTTuningObjective,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags,Prophet
nn5_91,3.1898637870478788,0.3837767435779002,7.303325831890106,0.7704335598847363,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective,DeepARTuningObjective
