,naming_orig,RMSE,RMSSE,SMAPE,CM,RMSE-model,RMSSE-model,SMAPE-model,CM-model
18,danish_atm_daily_16,16.5160915630054,0.4789762140011034,11.55346781015396,0.5456937953336813,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
19,danish_atm_daily_17,5.45796124692182,0.3165207922094976,9.206440299749374,0.5459180398530301,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
20,danish_atm_daily_18,25.467440294162245,0.582300583486983,9.182485193014143,0.5597818828945331,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
21,danish_atm_daily_19,24.829287752036656,0.4814007939554771,6.215554475784302,0.5497702848756765,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags,LightAutoML_mult_gl,BaselineMean
22,danish_atm_daily_2,19.249514883294783,0.8724837777843623,14.971472322940826,0.56742418371886,Prophet,Prophet,Prophet,OLS
23,danish_atm_daily_20,24.82283292994514,0.4238809075337749,7.084444910287857,0.5570886839479047,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
24,danish_atm_daily_21,9.10293126107988,0.2466357381742511,4.781082645058632,0.5374119276675147,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
25,danish_atm_daily_22,17.097511226395458,0.3763169942065127,5.70790208876133,0.5215372362669094,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl,OLS
26,danish_atm_daily_23,14.784971514697949,0.2400937536361967,4.035283252596855,0.5434062361439469,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
27,danish_atm_daily_24,6.17529109623919,0.2691351711958172,6.581500172615051,0.5303805539503106,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
28,danish_atm_daily_25,15.136953627209955,0.3584266708693296,9.499645233154297,0.5375310235464452,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
29,danish_atm_daily_26,11.513924171589004,0.4267864865521331,8.459699153900146,0.5416737106467485,TFTTuningObjective_gl,TFTTuningObjective_gl,CatBoostDirectPipelineEtna_30lags,BaselineMean
30,danish_atm_daily_27,17.81165191237624,0.3785940645181602,6.964569538831711,0.5400829292748218,LightAutoML_mult_gl,LightAutoML_mult_gl,TFTTuningObjective_gl,BaselineMean
31,danish_atm_daily_28,8.140879914434926,0.3365499014868719,5.506676062941551,0.5502250300939073,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
32,danish_atm_daily_29,15.041483672799751,0.2993487972996669,7.504191994667053,0.533281677152021,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
33,danish_atm_daily_3,14.786721763221545,0.4552589953841868,5.547936260700226,0.5374557277437495,TFTTuningObjective_gl,TFTTuningObjective_gl,LightAutoML_mult_gl,BaselineMean
34,danish_atm_daily_30,13.437074166581173,0.4835634963672133,5.901599675416946,0.5895019134173977,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
35,danish_atm_daily_31,17.756050905254806,0.6721508807082309,10.667864978313446,0.5529843655447044,TFTTuningObjective_gl,TFTTuningObjective_gl,LightAutoML_mult_gl,BaselineMean
36,danish_atm_daily_32,10.185739938546591,0.4615833207703963,7.65899121761322,0.5402187160237036,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
37,danish_atm_daily_33,12.149976665961068,0.2866447131527152,3.166458010673523,0.5233728292634541,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
38,danish_atm_daily_34,17.114189355471147,0.3289645833453558,5.400253459811211,0.5221344750725,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
39,danish_atm_daily_35,23.048185873736625,0.4360962542394721,8.775220066308975,0.5355661615478156,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
40,danish_atm_daily_36,9.039891738243336,0.307412885150302,5.5234145373106,0.5532433239024295,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
41,danish_atm_daily_37,12.31334950571146,0.576500680487355,8.632009476423264,0.5606761476508226,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
42,danish_atm_daily_38,86.61547341194297,1.3907811682117597,43.57452988624573,0.6293922069171896,NeuralProphet,NeuralProphet,NeuralProphet,BaselineMean
43,danish_atm_daily_39,40.28868906773804,0.5814808783428786,11.182597279548643,0.5845756196670036,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
44,danish_atm_daily_4,17.659938082732268,0.8152857894669173,20.3312024474144,0.5767269002998641,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
45,danish_atm_daily_40,18.04049366345316,0.3613458672315775,7.206309586763382,0.5385526894446337,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
46,danish_atm_daily_41,8.870781984146262,0.4811392311255206,7.8945092856884,0.5325722084278441,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
47,danish_atm_daily_42,20.25382450863448,0.5071993123046563,7.086555659770966,0.5626924129998894,TFTTuningObjective_gl,TFTTuningObjective_gl,CatBoostAutoRegressivePipelineEtna_30lags_gl,BaselineMean
48,danish_atm_daily_43,4.15287379760192,0.5378763616450953,9.487377107143402,0.5371365270734064,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl,BaselineMean
49,danish_atm_daily_44,58.01978885205892,0.9720954964265912,22.782810032367703,0.5849959760220793,NeuralProphet,NeuralProphet,Prophet,BaselineMean
50,danish_atm_daily_45,8.273907785854767,0.3405535609701632,10.775987803936005,0.5608043757061871,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
51,danish_atm_daily_46,7.705918739791355,0.709268694128973,16.452808678150177,0.5570504382538352,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
52,danish_atm_daily_47,13.02409828857525,0.2408619866073332,5.149685963988304,0.5354740817972703,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
53,danish_atm_daily_48,13.900559536217306,0.5485522926825698,11.738765239715576,0.5410788554802397,NeuralProphet,NeuralProphet,CatBoostDirectPipelineEtna_horizonlags_gl,BaselineMean
54,danish_atm_daily_49,11.297297426295527,0.3385176729196695,7.984277606010437,0.5516179559121359,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
55,danish_atm_daily_5,18.76162237444016,0.5959262034436806,13.58395516872406,0.56493544992553,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
56,danish_atm_daily_50,12.448950935501804,0.3320415534176321,5.618486925959587,0.5252682536917321,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl,BaselineMean
57,danish_atm_daily_51,24.95750049693854,0.7716218358030608,12.994284927845,0.5886370420785065,LightAutoML_mult_gl,LightAutoML_mult_gl,TFTTuningObjective_gl,BaselineMean
