naming_orig,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,RMSE,RMSSE,SMAPE,RMSE_model,RMSSE_model
mipt_alpha_627,0.0992857142857142,0.0916483516483516,-14359506220.123232,24.0,0.7373132200262084,567.0,1.0,334.5,0.0004717154965911,0.4607995842079483,0.0029806259314456,0.0005970149253731,0.0,1.0,0.0413361022615991,5.885923516696379e-09,0.0867342974897421,-0.064935253254779,729233.558503721,1.050582011657233,17.87901073694229,CatBoostAutoRegressivePipelineEtna_30lags_gl,Prophet
mipt_alpha_628,0.1464285714285714,0.0549107142857142,-28232249419.79036,96.0,0.7711150697653518,330.0,1.0,335.0,0.0001492537313432,0.0,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0223965522263234,3.073747790955473e-09,0.0641232467104017,-0.0674088920972376,1610049.596373975,0.9550418052420968,16.939643025398254,LightAutoML_mult_gl,Prophet
mipt_alpha_629,0.1228571428571428,0.0081904761904761,-19231954352.94101,100.0,0.8255101107754359,397.0,1.0,221.3333333333333,0.0014205068931437,0.5486846538466285,0.0104321907600596,0.0039800995024875,0.0,1.0,0.031302881666168,2.0048686761991543e-08,0.2336986611674179,-0.0907398636020652,1071235.295968164,0.962830069747082,17.187219858169556,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags
mipt_alpha_63,0.1699999999999999,0.0399999999999999,-17117841550.021294,259.0,0.7891548247092501,27.0,1.0,214.66666666666663,0.0014205068931437,0.8596420336536141,0.0402384500745156,0.0327453640886476,0.0,1.0,0.617925853030302,9.95381273190637e-09,0.3507670690963719,0.9272957971714284,786097.0536721277,0.729111159015663,14.81015831232071,CatBoostAutoRegressivePipelineEtna_30lags_gl,CatBoostAutoRegressivePipelineEtna_30lags_gl
mipt_alpha_630,0.0757142857142857,0.0481818181818181,-40363226782.81208,281.0,0.7959759665807192,4.0,1.0,166.75,0.0007496189088228,0.0652890893948963,0.0059612518628912,0.000872908186341,0.0,1.0,0.0099720261257044,1.2541058854520416e-08,-0.03191140482195,0.1029694890625025,1920160.215182056,0.7379185256090254,20.257902145385746,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
mipt_alpha_631,0.1228571428571428,0.0655238095238095,-41520311485.22134,259.0,0.7332320007131222,6.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1736829.1275678214,0.6743270147548279,16.294316947460175,CatBoostAutoRegressivePipelineEtna_30lags_gl,CatBoostAutoRegressivePipelineEtna_30lags_gl
mipt_alpha_632,0.1935714285714285,0.0322619047619047,-27513018137.345947,187.0,0.680286538479949,144.0,1.0,175.0,0.0026056585758078,0.9673187859511434,0.217585692995529,0.1630076888285843,0.0,1.0,0.9160338415678786,1.2161349541770668e-08,6.487612272056735,-2.800594494297449,2148709.9797078245,1.0999481464232652,21.522583067417145,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
mipt_alpha_633,0.0992857142857142,0.0229120879120879,-51184218711.19029,259.0,0.793141214501373,5.0,1.0,222.3333333333333,0.00106135986733,0.3913454086475562,0.0059612518628912,0.0023880597014925,0.0,1.0,0.0102152358382613,1.2483315170020886e-08,-0.0501750243994582,0.0729475835135288,1915737.5448803,0.727107041765586,12.706753611564636,LightAutoML_mult_gl,LightAutoML_mult_gl
mipt_alpha_634,0.1228571428571428,0.0737142857142857,-33043797061.340736,42.0,0.8645669515606387,575.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1985277.210571864,0.5210207601225119,21.25270217657089,DeepARTuningObjective_gl,CatBoostAutoRegressivePipelineEtna_30lags
mipt_alpha_635,0.0521428571428571,0.0173809523809523,-1674401509.3033352,107.0,0.8481338856743321,432.0,1.0,10.48148148148148,0.0146932006633499,0.3731879438183754,0.1564828614008941,0.053098145635459,0.0,1.0,0.3432523544336047,4.37998498952978e-08,4.5065335415432095,-2.225110045916576,812043.6619591338,0.7690712898122202,68.96267533302307,CatBoostAutoRegressivePipelineEtna_3lags_gl,CatBoostDirectPipelineEtna_horizonlags
mipt_alpha_636,0.4528571428571428,0.0485204081632653,-8629222231.675606,51.0,0.5356614065548746,284.0,1.0,10.25,0.0122027907600046,0.6669364817758893,0.3278688524590163,0.1556987788331072,0.0,1.0,0.6732409510876086,4.5814338532311375e-08,7.603028122499329,-0.3365041174669573,501177.9317727388,0.6516823340566983,62.54345774650574,Prophet,Prophet
mipt_alpha_637,0.2878571428571428,0.0375465838509316,-29379055807.392635,3.0,0.4257900643278224,426.0,1.0,335.0,0.0001492537313432,2.8187143843672047e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0024971928204641,3.280925719845318e-09,0.0155204654148247,0.0140416858944231,1724399.5058593585,0.8151094212045876,13.15400004386902,TFTTuningObjective_gl,NeuralProphet
mipt_alpha_638,0.1464285714285714,0.0915178571428571,-4635467097.658551,94.0,0.7713123982147262,309.0,1.0,25.68,0.0050220279076,0.091899317168989,0.0432190760059612,0.0082496607869742,0.0,1.0,0.043343650291945,6.612866229298606e-08,0.5628717753098254,0.4522760046713889,289039.94287295314,0.5132873103289558,53.06006073951721,LightAutoML,LightAutoML
mipt_alpha_639,0.0521428571428571,0.0001,-55971160914.886505,108.0,0.8354044661382533,437.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,2136432.5051262444,0.6935318578569317,17.953895032405853,CatBoostDirectPipelineEtna_horizonlags_gl,Prophet
